timestamp,sample_number,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.714923,115,-12,-23,9,4,8,1,9,-3
0.721307,116,-9,20,-11,-7,-11,-5,1,-4
0.721337,117,-5,24,1,-6,-9,-2,-2,-3
0.737158,118,-12,-57,6,4,3,0,-8,10
0.737181,119,-45,-23,-23,-2,0,1,4,-14
0.738864,120,52,3,12,-1,5,-1,-7,0
0.738875,121,-17,-35,-11,-3,-7,-5,-1,1
0.759273,122,1,10,4,-2,0,2,-1,-2
0.759288,123,-10,0,-3,1,2,0,-3,5
0.760086,124,-25,-11,0,5,7,3,3,11
0.760150,125,-7,14,12,1,-10,-7,-4,-19
0.773704,126,25,34,-7,-7,1,0,-1,-5
0.773721,127,11,-73,-7,-4,-2,-3,-6,-3
0.781235,128,-1,-10,15,-4,-17,-9,-6,-2
0.781251,129,8,11,8,4,2,4,8,5
0.800481,130,5,77,-23,-5,0,-1,2,7
0.800492,131,-30,-35,59,9,4,1,0,-7
0.800494,132,67,-31,-18,-3,0,-3,-9,-13
0.800496,133,20,33,-4,-2,-4,-4,-12,0
0.819431,134,7,-84,9,0,0,1,16,-3
0.819456,135,0,45,-21,-7,-3,0,3,3
0.820773,136,-44,-10,-7,1,8,2,0,11
0.820785,137,45,29,31,2,-5,-3,-1,2
0.833728,138,-21,-25,-14,-5,-3,-5,-6,-9
0.833748,139,6,-12,-4,1,-3,-1,-4,6
0.841342,140,-11,26,-3,-3,-4,-1,1,-6
0.841364,141,2,-34,-12,1,6,2,1,7
0.857374,142,-7,1,-5,-4,-4,-3,-12,0
0.857403,143,18,10,7,5,-1,1,12,-2
0.863900,144,8,9,-5,-6,-8,-4,-6,0
0.863916,145,-35,92,-20,-3,8,4,-6,6
0.879289,146,12,-87,29,9,0,1,7,1
0.879300,147,10,63,-21,-10,-9,-8,-11,-17
0.879936,148,2,-26,-3,1,-2,0,4,-1
0.879943,149,30,11,-11,-5,-2,-4,-9,-9
0.902129,150,-15,11,-4,1,4,-1,-12,6
0.902147,151,-11,-9,2,-1,1,4,19,1
0.903919,152,2,0,3,0,1,2,0,-3
0.903932,153,-6,-53,1,-3,-4,-4,-3,-10
0.916901,154,10,26,-4,-3,0,-1,-1,1
0.916920,155,-4,-13,6,2,3,1,-8,4
0.918769,156,-5,24,3,2,1,-1,0,-1
0.918789,157,11,-64,12,0,-3,1,7,0
0.939804,158,-7,-3,-13,-5,-1,-1,-1,-7
0.939818,159,17,41,-2,-7,-13,-8,-8,1
0.940070,160,-41,-44,-25,4,2,-2,1,-1
0.940078,161,-4,59,32,0,-3,-1,2,4
0.961777,162,21,-6,0,-3,-6,-4,-2,-10
0.961796,163,-14,-18,-8,-3,3,1,0,2
0.962578,164,1,-16,-5,-3,1,2,4,-5
0.962583,165,-26,-14,0,0,2,2,2,6
0.979712,166,0,20,-3,-3,-1,-2,1,0
0.979724,167,-8,-18,-8,2,3,1,-7,1
0.979726,168,17,9,10,2,3,0,0,3
0.979727,169,-51,4,-4,0,-3,0,3,0
