timestamp,sample_number,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.731254,116,-23,-99,-41,-12,-4,2,-13,0
0.731271,117,-50,53,2,-1,0,-5,9,-1
0.745895,118,41,127,36,7,4,30,0,-2
0.745913,119,-5,24,-22,-8,-7,0,1,-10
0.747489,120,41,-41,3,-1,1,7,3,5
0.747500,121,-26,-125,-7,0,-3,-6,7,2
0.768701,122,7,87,-9,0,-1,3,-3,-2
0.768727,123,9,93,25,3,-1,-3,2,3
0.770379,124,5,80,4,5,0,2,-1,-4
0.770392,125,10,4,10,4,1,8,9,2
0.782149,126,-12,-123,-9,-2,-2,-9,4,7
0.782174,127,86,28,12,11,6,2,6,9
0.791644,128,72,-7,-28,-19,-11,-10,-16,-9
0.791656,129,6,6,2,0,-1,4,-2,6
0.805468,130,-7,-38,22,0,0,-7,7,-5
0.805493,131,-31,-23,-17,0,1,-4,-1,4
0.812387,132,-66,-65,-23,-10,-4,6,-7,-5
0.812420,133,1,-2,-4,1,-2,-2,5,-9
0.828788,134,1,110,2,-1,-2,-5,-1,2
0.828874,135,-29,-125,-11,-3,1,4,-1,3
0.829813,136,29,127,46,16,8,6,3,-5
0.829825,137,-5,11,-17,-14,-9,-7,-9,2
0.841989,138,-40,-128,-32,-8,-6,-8,-4,-1
0.842011,139,7,40,11,-1,-1,-3,-2,-3
0.852742,140,52,98,48,12,6,5,11,7
0.852753,141,4,58,-11,-4,0,0,-1,-1
0.865456,142,33,115,34,12,6,4,4,6
0.865485,143,-84,-128,-63,-21,-12,-8,-12,-10
0.872247,144,39,127,12,2,-1,-2,1,1
0.872285,145,9,-9,14,7,0,3,2,3
0.888724,146,39,-1,-1,-14,2,-3,-1,0
0.888747,147,-4,30,-6,5,4,-1,2,-1
0.890055,148,26,91,9,0,0,1,0,8
0.890081,149,-41,-128,-25,-2,-5,-1,0,0
0.911791,150,-24,54,6,4,1,-2,0,-5
0.911833,151,45,81,23,5,2,3,6,3
0.914067,152,-20,-97,-25,-5,0,-2,-10,-2
0.914082,153,-66,-64,-21,-11,-5,-4,-6,-10
0.925346,154,7,46,-3,1,-3,0,1,0
0.925363,155,32,79,22,2,1,1,4,6
0.932150,156,-22,22,5,5,0,0,0,-2
0.932174,157,61,105,50,3,-1,-3,-2,1
0.948301,158,-37,-50,-20,-18,-14,-9,-5,-3
0.948344,159,-26,47,-1,16,2,-2,-6,-8
0.949903,160,-19,101,5,5,-6,3,8,3
0.949922,161,48,-48,10,4,16,1,2,5
0.971476,162,-107,-109,-32,-10,-5,-2,-7,-10
0.971509,163,63,94,0,-18,-6,-3,-3,1
0.973859,164,-1,118,30,18,7,2,4,4
0.973873,165,3,-72,-24,-9,-7,-2,4,10
0.985430,166,12,83,5,8,2,2,-1,-3
0.985453,167,44,18,9,-10,-3,-3,-2,2
0.991940,168,-35,-125,-29,-12,-2,-4,-6,-3
0.991957,169,-30,108,10,21,13,6,8,0
1.008344,170,35,-68,7,7,1,3,8,10
1.008359,171,-2,-98,-20,-28,-8,-9,-14,-9
1.009810,172,-12,75,5,8,1,3,1,-3
1.009891,173,23,77,-10,1,-6,-3,0,-2
1.030920,174,17,105,19,6,5,1,2,4
1.030942,175,-28,-61,-14,1,0,1,0,-2
1.033149,176,-18,-128,-20,-9,-2,-4,0,-3
1.033155,177,13,-46,-14,-9,-4,-1,-5,-4
1.045418,178,34,90,15,3,-3,-3,0,-6
1.045449,179,29,79,10,-11,-9,-1,1,-2
1.052680,180,-9,-64,-37,-35,-10,-9,-6,-4
1.052715,181,-21,-32,5,22,5,1,2,-3
1.069303,182,54,-71,-17,40,14,3,4,2
1.069313,183,-24,-87,1,15,6,5,2,3
1.069769,184,11,75,25,0,2,1,0,2
