Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
7884,-1,-2,2,-24,7,-1,5,0
7935,3,-2,-6,-29,-3,-1,-2,-2
7988,3,8,15,-14,-1,-2,0,0
8040,0,-4,-15,15,-7,-2,-1,-2
8094,-3,-4,-19,13,4,0,-2,-1
8149,-2,-1,-14,24,-12,1,3,-1
8211,-2,-3,-6,-10,18,7,2,-2
8274,-2,0,6,3,-2,-2,-2,-4
8333,0,1,1,-8,1,-3,0,0
8394,-3,-2,-10,-3,0,-2,-2,0
8446,-1,-3,-9,6,-6,0,-2,-1
8508,0,3,5,23,3,1,-1,-1
